cluster,script_url_etld,fp_script
054afc32-6cd0-40a8-921a-1859413d68c3,theglobeandmail.com,true
054b07c0-9eb6-4b90-802b-154a1c318d19,wcmessenger.com,true
054bba10-be16-430f-be88-beb81b205f24,chartink.com,true
054c987d-a09b-44da-a407-9f576c7534a5,unrealengine.com,true
054fe413-82d1-45e9-9832-87b41fa135d1,pirireis.edu.tr,true
05626218-8650-4f6f-acef-3da5fa2c9428,blancheporte.fr,true
056d7eae-cd88-4274-a790-7df7e53d827a,manhwaclan.com,true
0586d74a-7fe5-4757-9bc4-06d34ec4f7cd,heapanalytics.com,true
058822f1-4958-4deb-a993-a516c910bf37,nj.gov,true
059d00a3-69f7-42b8-a8a0-857bcd0f52a8,victoriassecret.com,true
05aa48e8-6b22-497c-9ed2-1d51caef475a,porntrex.com,true
05ab2067-6195-45dc-89e8-f86eb7ca6365,jav.guru,true
05ac9624-71e4-4c67-b726-a4b7a9748f23,studentaid.gov,true
05ac9624-71e4-4c67-b726-a4b7a9748f23,walgreens.com,true
05af584f-d082-4293-b06d-71b80b913e29,shaw.ca,true
05b3ec6c-68ee-4bc9-952c-de927801ad62,beget.com,true
05b5fb9d-0e89-46b5-bca9-e5ad72abeee3,resultadofacil.com.br,true
05c267c3-a975-4f32-aba6-489d533cde71,datadoghq.com,true
05c48949-c199-4ecb-ac62-e1104a7df5b4,iqiyi.com,true
05d38c26-014d-4b2f-9cea-f68a6ab0d758,indeed.com,true
05e348f8-2fec-4a72-ab64-f3362cd555cc,heroku.com,true
05e83396-301e-4d0f-b1e2-b3db987cf32d,arabx777.mobi,true
05e83396-301e-4d0f-b1e2-b3db987cf32d,arabx.cam,true
05e83396-301e-4d0f-b1e2-b3db987cf32d,inxxx.com,true
05e83396-301e-4d0f-b1e2-b3db987cf32d,theyarehuge.com,true
05e83396-301e-4d0f-b1e2-b3db987cf32d,xmegadrive.com,true
05e83396-301e-4d0f-b1e2-b3db987cf32d,4gay.com,true
05fbbd6b-5fe0-4ac9-a09a-016cdc88298e,ndtv.com,true
05fc65a7-ef6f-4f13-b7ea-fc7a5cdab79d,poply.com,true
06063109-3e72-4bb6-8b59-66ec7f079b95,mail.ru,true
06063109-3e72-4bb6-8b59-66ec7f079b95,vkusvill.ru,true
06077818-44d2-433d-8c58-a9e55916f297,temptationstreats.com,true
060ef4fc-ffcc-4888-b2da-04e806a7fce1,neobookings.com,true
0611885b-24c4-49ab-9bc4-d67175e826ed,rona.ca,true
