cluster,domain_0,value_0,share_0,domain_1,value_1,share_1,domain_2,value_2,share_2,domain_3,value_3,share_3,domain_4,value_4,share_4,domain_5,value_5,share_5,domain_6,value_6,share_6,domain_7,value_7,share_7,domain_8,value_8,share_8,domain_9,value_9,share_9,domain_10,value_10,share_10,domain_11,value_11,share_11,domain_12,value_12,share_12
eba0b781-d751-433d-b26a-fc7898e94fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832fbf1f-0802-4315-a23e-2f8a68e375e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da5e3479-23b8-45f9-bd56-0a1dc355b6c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da606f08-3d51-4b52-8121-278cddaf9d9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de590c52-59de-4954-9db7-e924b3a433d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dca9aee3-8300-4ca9-9b60-165c76d2136c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6584c0c5-69fd-46e2-8516-cd9570748088,mailerlite,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5a0e141-71d1-4a7d-b08e-4a3e39450b12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c42d4b89-5db6-43a0-81d3-1534055bbcae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33c2908c-f1c2-44bf-a3af-38ded01e3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5602f797-307c-45bc-948e-c7263bb69f21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1d41f5e-47ea-4d82-8c85-6f96acd1d077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d73f9c1-9261-4d2c-acbc-818a70cad849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac750ac9-46e9-4034-824d-3d2b0217b5ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6eec7bee-f850-4036-a6e4-2c77c56e909f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c350f419-c89e-4adf-83e8-88f13b34db5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268684de-8928-4835-a35d-2091fb98703d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9efb80d2-84db-4883-8641-63eadf2fac12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322983b1-2526-4e62-8914-69cb94c96156,dmg_media,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85a42fba-cefd-46c7-80ed-587b15b10ead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0eab773-0d5e-4a7a-9157-16510bc58152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d46789f-ea0e-4831-b536-0a18e5498bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b14dda8-b6a3-4cb2-8f0b-a2c49f9235ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dd06171-da86-4a45-90d5-b9b33f3e1edb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edf7be28-2feb-4975-bcb7-3298b0d92bde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efeb7776-b8c9-47b9-9a6f-31afe7222166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df30d79e-bbe8-4fbb-bdca-b9e5e83fcb8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34930919-1801-44c5-a11b-8768e2f1e95e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21312c97-0660-488a-9826-a12cdab6e166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170a72bf-d955-4741-af80-21e7968fe12d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e019db36-ae43-42ca-8554-9b85ca97e517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432ad230-3db1-4416-93fa-b9988d42e8ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9adbc783-8974-4987-84ce-05e81350f958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abf7f988-62b3-4ac8-98a6-4d0f90334431,trackjs,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d192957c-e195-4080-828d-3a2766a3cc26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a0d415a-2324-4414-ac20-924f6fc6ed70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e46f29ad-1958-4dd3-a9cf-ed3aee252ba8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af1417f6-2615-438a-8983-7aa27da01317,symantec,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3173a4af-7e56-4a45-a08d-41c05b69f720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3a458e8-111b-4516-9d94-4b87e57e8d13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1babf9c0-e8ff-47b5-bc19-4d4948a5a35c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37ab61dd-7f62-496a-9694-0b041684dedf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850cea8b-3f7a-42e0-9f3f-f1a1e9878c25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c7d907c-4b22-4481-9646-4de3c6d784df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55ce321c-af1e-428e-ba1e-c04fdba5fa8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17bc17ec-de0d-44ed-957a-c5ab0795738f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebc0569e-af4f-4f1b-9704-78bc7d4da39d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08871d3a-fc13-455b-8518-4d4a3cb30f2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82f1950c-8f44-4381-ba4f-bf3be280d4e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88444d8b-ae02-49bd-8290-50f76f476bfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759e729-44e0-4bf8-861b-2ffe0f359505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb105f1f-8ae3-49b6-9a0f-937ac63f5d56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504718d2-11d2-453e-b967-7b2789bedea3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7970af39-a2e0-404f-aae4-8bf1b833f41a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230987a1-0bd4-4df0-a6d9-bd0e438c2ef8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c62fc7c8-cf8c-4583-b382-92e557a80a3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12f14948-9c2f-4225-9e02-acaaa5d6c4eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53d73343-ae53-432d-972e-7c76c3ba8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01fe8689-d2e4-4d6b-9b2e-c31de533e755,wikimedia_foundation,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bec8ea1a-29a3-4a53-b2dd-1da39248fee8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0b5716c-3c5d-4575-8223-5b1896d15db1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00500810-ffca-49dd-beff-f71dc4348e05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
