cluster,script_url_etld,fp_script,category,organization
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,newsnow.com,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,golem.de,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,theguardian.com,True,Unknown,Unknown
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,rtl.de,True,misc,rtl_group
02711739-bd40-4a64-a48f-786433ff19cd,ngs.ru,True,Unknown,Unknown
02712338-12bb-4a37-a12a-c5ba634d810b,softwareadvice.com,True,Unknown,Unknown
027a29e0-0768-44ea-bea3-59f89012cfd2,yahoo.co.jp,True,advertising,yahoo_japan
027e767b-4d4f-46f9-a5e8-45a471b46b6f,wp.pl,True,advertising,wp
029c221e-c7cf-4dd8-b319-50f776be3b07,mlbshop.com,True,Unknown,Unknown
029c7007-6b88-40e6-808b-52254cbb39fe,nesine.com,True,Unknown,Unknown
02b6a17b-87b6-4a0c-88b5-9a76cb835e59,mcdonalds.com,True,Unknown,Unknown
02bacfbf-a89d-431d-b2d7-4b30f3057745,adweek.com,True,Unknown,Unknown
02c124a2-283b-4418-8c33-50c8bdfdc971,qatarairways.com,True,Unknown,Unknown
02c2eaa2-f315-456e-9815-a7d9025630fc,netmarble.com,True,Unknown,Unknown
02c2eaa2-f315-456e-9815-a7d9025630fc,uswitch.com,True,Unknown,Unknown
02c2eaa2-f315-456e-9815-a7d9025630fc,binance.tr,True,Unknown,Unknown
02c2eaa2-f315-456e-9815-a7d9025630fc,zoomgov.com,True,Unknown,Unknown
02c2eaa2-f315-456e-9815-a7d9025630fc,qq.com,True,misc,qq.com
02df4dcf-e288-4864-bdf1-aaab26a28818,warontherocks.com,True,Unknown,Unknown
02ec6deb-2520-402d-a522-c0a3b1d876aa,3movs.com,True,Unknown,Unknown
02ec6deb-2520-402d-a522-c0a3b1d876aa,taboodesi.net,True,Unknown,Unknown
02ec6deb-2520-402d-a522-c0a3b1d876aa,thisvid.com,True,Unknown,Unknown
02f0998f-4ca4-45c3-81df-f174751ddec6,mf.gov.pl,True,Unknown,Unknown
02f2066c-585c-4ede-8053-f4384995fada,codmon.com,True,Unknown,Unknown
02f4f087-d0d5-4441-acb1-a7ea862a37ab,elisa.fi,True,Unknown,Unknown
03053f0e-a2c0-43a2-9305-d0f38541d2cf,mmaglobal.com,True,Unknown,Unknown
031743ee-3458-4cd4-a501-82935615e9d9,gradle.com,True,Unknown,Unknown
03186827-3fbe-4ce9-9043-297de3149729,coldsteels.ru,True,Unknown,Unknown
0319f422-3235-482c-b358-a572099fc669,tradesmith.com,True,Unknown,Unknown
0329942d-7c5e-4f85-8ecf-9dda4e7043d1,wpastra.com,True,Unknown,Unknown
032fc0c6-7378-4e3a-81c7-9f12970f61aa,klix.ba,True,Unknown,Unknown
0330382a-debe-481f-bc9d-c73fb83bf6e4,10086.cn,True,Unknown,Unknown
03397ced-3fb3-4c0f-a1d6-eeed9bf17412,xfinity.com,True,Unknown,Unknown
033b9aab-a95e-409e-b8d1-069ff3c97eb6,delfi.lt,True,Unknown,Unknown
033b9aab-a95e-409e-b8d1-069ff3c97eb6,pensador.com,True,Unknown,Unknown
033b9aab-a95e-409e-b8d1-069ff3c97eb6,whatnot.com,True,Unknown,Unknown
033b9aab-a95e-409e-b8d1-069ff3c97eb6,translated.com,True,Unknown,Unknown
034ab9d7-ad0b-46fc-99f5-eb16c8ddaa8e,autoscout24.de,True,Unknown,Unknown
034ab9d7-ad0b-46fc-99f5-eb16c8ddaa8e,autoscout24.nl,True,Unknown,Unknown
035906c9-5ed3-4c6d-b4e4-26c4d607e60d,dnb.com,True,Unknown,Unknown
035d0935-e627-4b24-bfbe-dc1956f5a936,att.com,True,Unknown,Unknown
035d92bc-adf7-4255-ae0b-0bc6ea90af05,suruga-ya.jp,True,Unknown,Unknown
03697d56-8d3f-439a-a547-dfb99ec5a901,porvenir.com.co,True,Unknown,Unknown
03697d56-8d3f-439a-a547-dfb99ec5a901,coe.int,True,Unknown,Unknown
03714fc9-5b44-4701-9362-0f387c7a2e13,boots.com,True,Unknown,Unknown
037585b5-1bff-4ec4-9f3f-031e189e0d44,smu.edu.sg,True,Unknown,Unknown
037585b5-1bff-4ec4-9f3f-031e189e0d44,societegenerale.com,True,Unknown,Unknown
0381cf81-50cd-4f8f-9203-9190a3b2a023,msu.edu,True,Unknown,Unknown
0386a643-4751-44ab-abad-c281ef635ace,weather.com,True,advertising,ibm
038c1f55-f5b7-45cf-af51-82b47a3737a3,att.com,True,Unknown,Unknown
039a06ef-5c70-4cc1-961e-502523a4208c,dkb.de,True,Unknown,Unknown
03a75564-637c-4337-ba5b-e773918e9894,gapfactory.com,True,Unknown,Unknown
03abecb3-7888-4da8-a7d7-ef6a5bcb41a0,capitalone.com,True,Unknown,Unknown
03adbeaf-2a00-4220-8824-5f40185ec37b,europa.eu,True,Unknown,Unknown
03ae9766-9447-4366-a0b2-98817829cfa0,novelbin.com,True,Unknown,Unknown
03be2d59-7425-4fab-893e-e870451d58fc,goniec.pl,True,Unknown,Unknown
03c45d3f-8a7c-43cb-9730-cbb199329a99,kommersant.ru,True,Unknown,Unknown
